x,y,z,lp_x,lp_y,lp_z,hp_x,hp_y,hp_z,h_rate
1725.887451,962.775452,1527.955933,1725.887451,962.775452,1527.955933,1725.887451,962.775452,1527.955933,80
1720.855103,962.172913,1531.003296,1720.855103,962.172913,1531.003296,1720.855103,962.172913,1531.003296,80
1715.114258,961.701294,1533.813965,1715.114258,961.701294,1533.813965,1715.114258,961.701294,1533.813965,80
1709.310059,961.639832,1536.14624,1709.310059,961.639832,1536.14624,1709.310059,961.639832,1536.14624,80
1703.410889,961.376099,1537.828857,1703.410889,961.376099,1537.828857,1703.410889,961.376099,1537.828857,80
1697.130737,961.019531,1538.63147,1697.130737,961.019531,1538.63147,1697.130737,961.019531,1538.63147,80
1689.416382,960.812134,1538.602417,1689.416382,960.812134,1538.602417,1689.416382,960.812134,1538.602417,80
1682.215698,960.3078,1537.859985,1682.215698,960.3078,1537.859985,1682.215698,960.3078,1537.859985,80
1674.257324,960.172974,1536.145264,1674.257324,960.172974,1536.145264,1674.257324,960.172974,1536.145264,80
1667.22876,959.458679,1534.124023,1667.22876,959.458679,1534.124023,1667.22876,959.458679,1534.124023,80
1660.746094,959.163513,1532.502441,1660.746094,959.163513,1532.502441,1660.746094,959.163513,1532.502441,80
1655.216675,958.742249,1531.442627,1655.216675,958.742249,1531.442627,1655.216675,958.742249,1531.442627,80
1652.054932,958.309143,1531.111694,1652.054932,958.309143,1531.111694,1652.054932,958.309143,1531.111694,80
1648.664795,958.398071,1530.997314,1648.664795,958.398071,1530.997314,1648.664795,958.398071,1530.997314,80
1647.206055,957.718506,1532.939697,1647.206055,957.718506,1532.939697,1647.206055,957.718506,1532.939697,80
1650.525024,956.758972,1535.019409,1650.525024,956.758972,1535.019409,1650.525024,956.758972,1535.019409,80
1648.54541,957.40332,1538.224243,1648.54541,957.40332,1538.224243,1648.54541,957.40332,1538.224243,80
1650.205566,956.890137,1540.931641,1650.205566,956.890137,1540.931641,1650.205566,956.890137,1540.931641,80
1654.488892,956.294434,1544.218506,1654.488892,956.294434,1544.218506,1654.488892,956.294434,1544.218506,80
1655.757813,956.588928,1549.02771,1655.757813,956.588928,1549.02771,1655.757813,956.588928,1549.02771,80
1660.167236,956.416565,1553.306152,1660.167236,956.416565,1553.306152,1660.167236,956.416565,1553.306152,80
1665.005249,955.850403,1556.301392,1665.005249,955.850403,1556.301392,1665.005249,955.850403,1556.301392,80
1669.015991,955.241882,1557.599731,1669.015991,955.241882,1557.599731,1669.015991,955.241882,1557.599731,80
1672.589966,954.721008,1557.100952,1672.589966,954.721008,1557.100952,1672.589966,954.721008,1557.100952,80
1674.6427,953.884277,1553.029297,1674.6427,953.884277,1553.029297,1674.6427,953.884277,1553.029297,80
1675.315918,953.54425,1546.339355,1675.315918,953.54425,1546.339355,1675.315918,953.54425,1546.339355,80
1675.147461,955.046753,1538.722046,1675.147461,955.046753,1538.722046,1675.147461,955.046753,1538.722046,80
1674.981201,956.206726,1530.550903,1674.981201,956.206726,1530.550903,1674.981201,956.206726,1530.550903,80
1673.299561,957.770691,1517.956909,1673.299561,957.770691,1517.956909,1673.299561,957.770691,1517.956909,80
1669.58667,959.016846,1501.250854,1669.58667,959.016846,1501.250854,1669.58667,959.016846,1501.250854,80
1663.482422,960.65033,1481.799805,1663.482422,960.65033,1481.799805,1663.482422,960.65033,1481.799805,80
1657.790527,963.056946,1460.887207,1657.790527,963.056946,1460.887207,1657.790527,963.056946,1460.887207,80
1652.141602,965.470642,1441.031006,1652.141602,965.470642,1441.031006,1652.141602,965.470642,1441.031006,80
1647.385132,966.251892,1420.306885,1647.385132,966.251892,1420.306885,1647.385132,966.251892,1420.306885,80
1641.62207,968.055908,1400.451172,1641.62207,968.055908,1400.451172,1641.62207,968.055908,1400.451172,80
1637.215088,968.63446,1382.310181,1637.215088,968.63446,1382.310181,1637.215088,968.63446,1382.310181,70
1635.466431,969.069702,1364.858154,1635.466431,969.069702,1364.858154,1635.466431,969.069702,1364.858154,70
1633.839844,969.234436,1347.90625,1633.839844,969.234436,1347.90625,1633.839844,969.234436,1347.90625,70
1635.484619,968.557007,1330.53186,1635.484619,968.557007,1330.53186,1635.484619,968.557007,1330.53186,70
1638.751343,967.213196,1314.526001,1638.751343,967.213196,1314.526001,1638.751343,967.213196,1314.526001,70
1629.771729,966.70575,1304.485596,1629.771729,966.70575,1304.485596,1629.771729,966.70575,1304.485596,70
1629.621948,966.270996,1294.507202,1629.621948,966.270996,1294.507202,1629.621948,966.270996,1294.507202,70
1628.135742,966.443237,1285.407349,1628.135742,966.443237,1285.407349,1628.135742,966.443237,1285.407349,70
1625.012939,966.507263,1278.192627,1625.012939,966.507263,1278.192627,1625.012939,966.507263,1278.192627,70
1620.178223,967.514282,1275.015991,1620.178223,967.514282,1275.015991,1620.178223,967.514282,1275.015991,70
1613.87439,967.295166,1272.893799,1613.87439,967.295166,1272.893799,1613.87439,967.295166,1272.893799,70
1605.332642,966.754639,1270.444092,1605.332642,966.754639,1270.444092,1605.332642,966.754639,1270.444092,70
1594.955444,968.250061,1266.746582,1594.955444,968.250061,1266.746582,1594.955444,968.250061,1266.746582,70
1584.154907,970.25708,1265.353638,1584.154907,970.25708,1265.353638,1584.154907,970.25708,1265.353638,70
1574.651855,970.773743,1263.19043,1574.651855,970.773743,1263.19043,1574.651855,970.773743,1263.19043,70
1565.092163,972.097107,1261.377686,1565.092163,972.097107,1261.377686,1565.092163,972.097107,1261.377686,70
1556.390503,972.736511,1258.113403,1556.390503,972.736511,1258.113403,1556.390503,972.736511,1258.113403,70
1549.370605,972.742004,1254.764771,1549.370605,972.742004,1254.764771,1549.370605,972.742004,1254.764771,70
1543.026733,972.527954,1251.491699,1543.026733,972.527954,1251.491699,1543.026733,972.527954,1251.491699,70
1537.286621,972.315247,1248.028198,1537.286621,972.315247,1248.028198,1537.286621,972.315247,1248.028198,70
1532.613281,971.768555,1244.935303,1532.613281,971.768555,1244.935303,1532.613281,971.768555,1244.935303,70
1529.281982,970.602539,1241.029419,1529.281982,970.602539,1241.029419,1529.281982,970.602539,1241.029419,60
1526.940796,969.787537,1237.449951,1526.940796,969.787537,1237.449951,1526.940796,969.787537,1237.449951,60
1525.755371,968.839233,1233.96106,1525.755371,968.839233,1233.96106,1525.755371,968.839233,1233.96106,60
1525.118164,968.25647,1230.723511,1525.118164,968.25647,1230.723511,1525.118164,968.25647,1230.723511,60
1525.038574,967.331787,1227.163696,1525.038574,967.331787,1227.163696,1525.038574,967.331787,1227.163696,60
1524.950684,966.72876,1224.615112,1524.950684,966.72876,1224.615112,1524.950684,966.72876,1224.615112,60
1524.694092,965.972595,1222.537598,1524.694092,965.972595,1222.537598,1524.694092,965.972595,1222.537598,60
1523.955322,965.221497,1220.243042,1523.955322,965.221497,1220.243042,1523.955322,965.221497,1220.243042,60
1523.370972,964.753784,1217.694336,1523.370972,964.753784,1217.694336,1523.370972,964.753784,1217.694336,60
1523.040283,964.204468,1214.484131,1523.040283,964.204468,1214.484131,1523.040283,964.204468,1214.484131,60
1522.912354,963.674194,1210.470703,1522.912354,963.674194,1210.470703,1522.912354,963.674194,1210.470703,60
1522.800293,963.211426,1206.51001,1522.800293,963.211426,1206.51001,1522.800293,963.211426,1206.51001,60
1522.636963,962.866516,1202.120483,1522.636963,962.866516,1202.120483,1522.636963,962.866516,1202.120483,60
1523.655762,962.048523,1197.173584,1523.655762,962.048523,1197.173584,1523.655762,962.048523,1197.173584,60
1524.355957,961.51886,1192.973633,1524.355957,961.51886,1192.973633,1524.355957,961.51886,1192.973633,60
1525.664673,960.898315,1188.575684,1525.664673,960.898315,1188.575684,1525.664673,960.898315,1188.575684,60
1527.165283,960.274658,1184.595825,1527.165283,960.274658,1184.595825,1527.165283,960.274658,1184.595825,60
1529.224365,959.430359,1180.23938,1529.224365,959.430359,1180.23938,1529.224365,959.430359,1180.23938,60
1531.268677,958.643799,1176.03894,1531.268677,958.643799,1176.03894,1531.268677,958.643799,1176.03894,60
1533.057739,958.076355,1172.226196,1533.057739,958.076355,1172.226196,1533.057739,958.076355,1172.226196,60
1534.556274,957.80957,1169.156006,1534.556274,957.80957,1169.156006,1534.556274,957.80957,1169.156006,60
1536.546387,957.469849,1166.68042,1536.546387,957.469849,1166.68042,1536.546387,957.469849,1166.68042,60
1537.928833,957.569763,1164.776367,1537.928833,957.569763,1164.776367,1537.928833,957.569763,1164.776367,60
1537.83313,957.807922,1165.161377,1537.83313,957.807922,1165.161377,1537.83313,957.807922,1165.161377,60
1536.543457,958.093262,1167.709717,1536.543457,958.093262,1167.709717,1536.543457,958.093262,1167.709717,60
1534.376343,958.506409,1171.403076,1534.376343,958.506409,1171.403076,1534.376343,958.506409,1171.403076,60
1531.750244,959.249023,1176.689575,1531.750244,959.249023,1176.689575,1531.750244,959.249023,1176.689575,60
1528.440918,959.94696,1182.834717,1528.440918,959.94696,1182.834717,1528.440918,959.94696,1182.834717,60
1524.837402,960.889709,1189.502197,1524.837402,960.889709,1189.502197,1524.837402,960.889709,1189.502197,60
1520.698853,961.86969,1197.161011,1520.698853,961.86969,1197.161011,1520.698853,961.86969,1197.161011,60
1516.619019,962.731262,1205.831909,1516.619019,962.731262,1205.831909,1516.619019,962.731262,1205.831909,60
1512.282593,963.723633,1215.394165,1512.282593,963.723633,1215.394165,1512.282593,963.723633,1215.394165,60
1507.937256,964.314941,1225.049072,1507.937256,964.314941,1225.049072,1507.937256,964.314941,1225.049072,60
1504.832153,964.869568,1235.609253,1504.832153,964.869568,1235.609253,1504.832153,964.869568,1235.609253,60
1502.59436,965.417236,1245.423828,1502.59436,965.417236,1245.423828,1502.59436,965.417236,1245.423828,60
1501.154053,965.861084,1254.544067,1501.154053,965.861084,1254.544067,1501.154053,965.861084,1254.544067,60
